[st70.tsp] run 14/30 | best=   676 | mean=  675.64 std=  1.34 | t= 17.2s ETA=00:04:37
[st70.tsp] run 15/30 | best=   675 | mean=  675.60 std=  1.31 | t= 17.0s ETA=00:04:20
[st70.tsp] run 16/30 | best=   675 | mean=  675.56 std=  1.27 | t= 17.2s ETA=00:04:02
[st70.tsp] run 17/30 | best=   677 | mean=  675.65 std=  1.28 | t= 17.3s ETA=00:03:45
[st70.tsp] run 18/30 | best=   675 | mean=  675.61 std=  1.25 | t= 17.0s ETA=00:03:27
[st70.tsp] run 19/30 | best=   675 | mean=  675.58 std=  1.23 | t= 17.0s ETA=00:03:10
[st70.tsp] run 20/30 | best=   675 | mean=  675.55 std=  1.20 | t= 17.0s ETA=00:02:52
[st70.tsp] run 21/30 | best=   675 | mean=  675.52 std=  1.18 | t= 17.0s ETA=00:02:35
[st70.tsp] run 22/30 | best=   675 | mean=  675.50 std=  1.16 | t= 17.2s ETA=00:02:18
[st70.tsp] run 23/30 | best=   675 | mean=  675.48 std=  1.14 | t= 17.0s ETA=00:02:00
[st70.tsp] run 24/30 | best=   679 | mean=  675.62 std=  1.32 | t= 18.0s ETA=00:01:43
[st70.tsp] run 25/30 | best=   675 | mean=  675.60 std=  1.30 | t= 17.2s ETA=00:01:26
[st70.tsp] run 26/30 | best=   675 | mean=  675.58 std=  1.28 | t= 17.2s ETA=00:01:09
[st70.tsp] run 27/30 | best=   677 | mean=  675.63 std=  1.28 | t= 17.1s ETA=00:00:51
[st70.tsp] run 28/30 | best=   675 | mean=  675.61 std=  1.26 | t= 17.6s ETA=00:00:34
[st70.tsp] run 29/30 | best=   675 | mean=  675.59 std=  1.25 | t= 16.8s ETA=00:00:17
[st70.tsp] run 30/30 | best=   680 | mean=  675.73 std=  1.46 | t= 17.2s ETA=00:00:00
>> st70.tsp: avg=675.73, std=1.46

>>> kroA100.tsp (n=100) | resume from run 0/30
[kroA100.tsp] run  1/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.4s ETA=00:11:18
[kroA100.tsp] run  2/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 24.6s ETA=00:11:12
[kroA100.tsp] run  3/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.1s ETA=00:10:40
[kroA100.tsp] run  4/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.7s ETA=00:10:16
[kroA100.tsp] run  5/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.2s ETA=00:09:50
[kroA100.tsp] run  6/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.2s ETA=00:09:25
[kroA100.tsp] run  7/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.5s ETA=00:09:01
[kroA100.tsp] run  8/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.5s ETA=00:08:37
[kroA100.tsp] run  9/30 | best= 21282 | mean=21282.00 std=  0.00 | t= 23.5s ETA=00:08:13
